github_org,org_type,govuk_slug,england_planning_data_reference,wikidata_id,site_slug,site_url
dhsc-govuk,gov_uk,department-of-health-and-social-care,,Q3044742,department-of-health-and-social-care,https://publicsectorcodebyorg.co.uk/org/department-of-health-and-social-care
cabinetoffice,gov_uk,cabinet-office,,Q5995,cabinet-office,https://publicsectorcodebyorg.co.uk/org/cabinet-office
Civil-Service-Human-Resources,gov_uk,cabinet-office,,Q5995,cabinet-office,https://publicsectorcodebyorg.co.uk/org/cabinet-office
stfc,gov_uk,science-and-technology-facilities-council,,Q1669366,science-and-technology-facilities-council,https://publicsectorcodebyorg.co.uk/org/science-and-technology-facilities-council
naouk,other,,,Q6970828,national-audit-office,https://publicsectorcodebyorg.co.uk/org/national-audit-office
TransportForLondon,other,,,Q682520,tfl,https://publicsectorcodebyorg.co.uk/org/tfl
,gov_uk,uk-statistics-authority,,Q14592116,uk-statistics-authority,https://publicsectorcodebyorg.co.uk/org/uk-statistics-authority
uktrade,gov_uk,department-for-business-and-trade,,Q116726347,department-for-business-and-trade,https://publicsectorcodebyorg.co.uk/org/department-for-business-and-trade
communitiesuk,gov_uk,ministry-of-housing-communities-local-government,,Q601819,ministry-of-housing-communities-local-government,https://publicsectorcodebyorg.co.uk/org/ministry-of-housing-communities-local-government
digital-land,gov_uk,ministry-of-housing-communities-local-government,,Q601819,ministry-of-housing-communities-local-government,https://publicsectorcodebyorg.co.uk/org/ministry-of-housing-communities-local-government
,gov_uk,department-for-culture-media-and-sport,,Q910019,department-for-culture-media-and-sport,https://publicsectorcodebyorg.co.uk/org/department-for-culture-media-and-sport
ukgov-equality-hub,gov_uk,office-for-equality-and-opportunity,,Q138837814,office-for-equality-and-opportunity,https://publicsectorcodebyorg.co.uk/org/office-for-equality-and-opportunity
UKGovernmentBEIS,gov_uk,department-for-science-innovation-and-technology,,Q116719150,department-for-science-innovation-and-technology,https://publicsectorcodebyorg.co.uk/org/department-for-science-innovation-and-technology
CDEIUK,gov_uk,department-for-science-innovation-and-technology,,Q116719150,department-for-science-innovation-and-technology,https://publicsectorcodebyorg.co.uk/org/department-for-science-innovation-and-technology
NHS-Blood-and-Transplant,gov_uk,nhs-blood-and-transplant,,Q16957766,nhs-blood-and-transplant,https://publicsectorcodebyorg.co.uk/org/nhs-blood-and-transplant
bank-of-england,gov_uk,bank-of-england,,Q183231,bank-of-england,https://publicsectorcodebyorg.co.uk/org/bank-of-england
no10ds,gov_uk,prime-ministers-office-10-downing-street,,Q96758600,prime-ministers-office-10-downing-street,https://publicsectorcodebyorg.co.uk/org/prime-ministers-office-10-downing-street
alphagov,gov_uk,government-digital-service,,Q5588795,government-digital-service,https://publicsectorcodebyorg.co.uk/org/government-digital-service
govuk-once,gov_uk,government-digital-service,,Q5588795,government-digital-service,https://publicsectorcodebyorg.co.uk/org/government-digital-service
i-dot-ai,gov_uk,government-digital-service,,Q5588795,government-digital-service,https://publicsectorcodebyorg.co.uk/org/government-digital-service
govuk-digital-backbone,gov_uk,government-digital-service,,Q5588795,government-digital-service,https://publicsectorcodebyorg.co.uk/org/government-digital-service
govuk-one-login,gov_uk,government-digital-service,,Q5588795,government-digital-service,https://publicsectorcodebyorg.co.uk/org/government-digital-service
govuk-pay,gov_uk,government-digital-service,,Q5588795,government-digital-service,https://publicsectorcodebyorg.co.uk/org/government-digital-service
gds-operations,gov_uk,government-digital-service,,Q5588795,government-digital-service,https://publicsectorcodebyorg.co.uk/org/government-digital-service
co-cddo,gov_uk,government-digital-service,,Q5588795,government-digital-service,https://publicsectorcodebyorg.co.uk/org/government-digital-service
datagovuk,gov_uk,government-digital-service,,Q5588795,government-digital-service,https://publicsectorcodebyorg.co.uk/org/government-digital-service
ukgovdatascience,gov_uk,government-digital-service,,Q5588795,government-digital-service,https://publicsectorcodebyorg.co.uk/org/government-digital-service
govuk-forms,gov_uk,government-digital-service,,Q5588795,government-digital-service,https://publicsectorcodebyorg.co.uk/org/government-digital-service
govuk-paas,gov_uk,government-digital-service,,Q5588795,government-digital-service,https://publicsectorcodebyorg.co.uk/org/government-digital-service
openregister,gov_uk,government-digital-service,,Q5588795,government-digital-service,https://publicsectorcodebyorg.co.uk/org/government-digital-service
gds-dead,gov_uk,government-digital-service,,Q5588795,government-digital-service,https://publicsectorcodebyorg.co.uk/org/government-digital-service
ministryofjustice,gov_uk,ministry-of-justice,,Q2983190,ministry-of-justice,https://publicsectorcodebyorg.co.uk/org/ministry-of-justice
moj-analytical-services,gov_uk,ministry-of-justice,,Q2983190,ministry-of-justice,https://publicsectorcodebyorg.co.uk/org/ministry-of-justice
hmcts,gov_uk,hm-courts-and-tribunals-service,,Q5732294,hm-courts-and-tribunals-service,https://publicsectorcodebyorg.co.uk/org/hm-courts-and-tribunals-service
CJSCommonPlatform,gov_uk,hm-courts-and-tribunals-service,,Q5732294,hm-courts-and-tribunals-service,https://publicsectorcodebyorg.co.uk/org/hm-courts-and-tribunals-service
UKHomeOffice,gov_uk,home-office,,Q763388,home-office,https://publicsectorcodebyorg.co.uk/org/home-office
UKHomeOfficeForms,gov_uk,home-office,,Q763388,home-office,https://publicsectorcodebyorg.co.uk/org/home-office
HO-CTO,gov_uk,home-office,,Q763388,home-office,https://publicsectorcodebyorg.co.uk/org/home-office
homesengland,gov_uk,homes-england,,Q5890410,homes-england,https://publicsectorcodebyorg.co.uk/org/homes-england
scottishgovernment,gov_uk,the-scottish-government,,Q32521,the-scottish-government,https://publicsectorcodebyorg.co.uk/org/the-scottish-government
scottish-government-design-system,gov_uk,the-scottish-government,,Q32521,the-scottish-government,https://publicsectorcodebyorg.co.uk/org/the-scottish-government
ScotGovAnalysis,gov_uk,the-scottish-government,,Q32521,the-scottish-government,https://publicsectorcodebyorg.co.uk/org/the-scottish-government
DFE-Digital,gov_uk,department-for-education,,Q2612019,department-for-education,https://publicsectorcodebyorg.co.uk/org/department-for-education
SkillsFundingAgency,gov_uk,department-for-education,,Q2612019,department-for-education,https://publicsectorcodebyorg.co.uk/org/department-for-education
nhsengland,gov_uk,nhs-england,,Q19382273,nhs-england,https://publicsectorcodebyorg.co.uk/org/nhs-england
NHSDigital,gov_uk,nhs-england,,Q19382273,nhs-england,https://publicsectorcodebyorg.co.uk/org/nhs-england
nhsx,gov_uk,nhs-england,,Q19382273,nhs-england,https://publicsectorcodebyorg.co.uk/org/nhs-england
nhs-england-tools,gov_uk,nhs-england,,Q19382273,nhs-england,https://publicsectorcodebyorg.co.uk/org/nhs-england
nhsuk,gov_uk,nhs-england,,Q19382273,nhs-england,https://publicsectorcodebyorg.co.uk/org/nhs-england
nhsuk-archive,gov_uk,nhs-england,,Q19382273,nhs-england,https://publicsectorcodebyorg.co.uk/org/nhs-england
NHSE-NDRS,gov_uk,nhs-england,,Q19382273,nhs-england,https://publicsectorcodebyorg.co.uk/org/nhs-england
nhsconnect,gov_uk,nhs-england,,Q19382273,nhs-england,https://publicsectorcodebyorg.co.uk/org/nhs-england
111Online,gov_uk,nhs-england,,Q19382273,nhs-england,https://publicsectorcodebyorg.co.uk/org/nhs-england
Public-Health-Wales,gov_uk,public-health-wales,,Q17018314,public-health-wales,https://publicsectorcodebyorg.co.uk/org/public-health-wales
DEFRA,gov_uk,department-for-environment-food-rural-affairs,,Q3044721,department-for-environment-food-rural-affairs,https://publicsectorcodebyorg.co.uk/org/department-for-environment-food-rural-affairs
defra-design,gov_uk,department-for-environment-food-rural-affairs,,Q3044721,department-for-environment-food-rural-affairs,https://publicsectorcodebyorg.co.uk/org/department-for-environment-food-rural-affairs
dwp,gov_uk,department-for-work-pensions,,Q1191394,department-for-work-pensions,https://publicsectorcodebyorg.co.uk/org/department-for-work-pensions
dwpdigital,gov_uk,department-for-work-pensions,,Q1191394,department-for-work-pensions,https://publicsectorcodebyorg.co.uk/org/department-for-work-pensions
hmrc,gov_uk,hm-revenue-customs,,Q166559,hm-revenue-customs,https://publicsectorcodebyorg.co.uk/org/hm-revenue-customs
defencedigital,gov_uk,ministry-of-defence,,Q1143261,ministry-of-defence,https://publicsectorcodebyorg.co.uk/org/ministry-of-defence
